"Sorting.Number" "Order" "Taxon..Dyntaxa.2017." "Taxon.in.Gärdenfors.et.al...2003." "Linné..1761." "Wahlgren...Tullgren..1922." "Gärdenfors.et.al...2003." "Corrected.values.2003" "Dyntaxa.2017" "Corrected.values.2017" "Sweden.estimated.total" "New.species.to.science.since.2003" "Estimate.minus.known.2003" "Estimate.minus.known.2017" "Main.feeding.niche" "Main.feeding.habitat" "Expert.estimate"
"116" 17 "Hemiptera" "Kermesidae" "Kermesidae" 1 1 1 1 1 1 2 0 1 1 "Phytophagous" "Plants" "Carl-Axel Gertsson"
"117" 17 "Hemiptera" "Lachnidae" "Lachnidae" 0 7 34 34 34 34 39 0 5 5 "Phytophagous" "Plants" "Roy Danielsson"
"118" 17 "Hemiptera" "Liviidae" "Psyllidae (pars)" 0 1 5 5 6 6 7 0 2 1 "Phytophagous" "Plants" "Carl-Axel Gertsson"
"119" 17 "Hemiptera" "Margarodidae" "Margarodidae (pars)" 1 1 2 1 1 1 1 0 0 0 "Phytophagous" "Plants" "Carl-Axel Gertsson"
"120" 17 "Hemiptera" "Matsucoccidae" "Margarodidae (pars)" 0 0 1 1 1 1 1 0 0 0 "Phytophagous" "Plants" "Carl-Axel Gertsson"
"121" 17 "Hemiptera" "Mindaridae" "Mindaridae" 0 0 2 2 2 2 2 0 0 0 "Phytophagous" "Plants" "Roy Danielsson"
"122" 17 "Hemiptera" "Monophlebidae" NA 0 0 0 0 1 1 1 0 1 0 "Phytophagous" "Plants" "Carl-Axel Gertsson"
"123" 17 "Hemiptera" "Ortheziidae" "Ortheziidae" 0 1 5 5 5 5 5 0 0 0 "Phytophagous" "Plants" "Carl-Axel Gertsson"
"124" 17 "Hemiptera" "Pemphigidae" "Pemphigidae" 0 12 38 38 39 39 43 0 5 4 "Phytophagous" "Plants" "Roy Danielsson"
"125" 17 "Hemiptera" "Phylloxeridae" "Phylloxeridae" 0 1 5 5 3 5 5 0 0 0 "Phytophagous" "Plants" "Roy Danielsson"
"126" 17 "Hemiptera" "Pseudococcidae" "Pseudococcidae (pars)" 1 4 33 28 29 29 35 0 7 6 "Phytophagous" "Plants" "Carl-Axel Gertsson"
"127" 17 "Hemiptera" "Psyllidae" "Psyllidae (pars)" 4 21 36 36 38 38 45 0 9 7 "Phytophagous" "Plants" "Carl-Axel Gertsson"
"128" 17 "Hemiptera" "Rhizoecidae" "Pseudococcidae (pars)" 0 0 2 2 2 2 4 0 2 2 "Phytophagous" "Plants" "Carl-Axel Gertsson"
"129" 17 "Hemiptera" "Steingeliidae" "Margarodidae (pars)" 0 0 1 1 1 1 1 0 0 0 "Phytophagous" "Plants" "Carl-Axel Gertsson"
