TaxonId;Understam;Ordning;Familj;Art;Vetenskapligt namn;Auktor;Grupp i 2003-rekonstruktion;Status 2003;URL till taxoninformation;Svensk frekomst
251763;;;;Psilus rufipes;Psilus rufipes;(Thomson, 1858);;;https://www.dyntaxa.se/taxon/info/251763;Bofast och reproducerande
251764;;;;Psilus subapterus;Psilus subapterus;(Thomson, 1858);;;https://www.dyntaxa.se/taxon/info/251764;Bofast och reproducerande
251765;;;;Psilus submonilis;Psilus submonilis;(Kieffer, 1911);;;https://www.dyntaxa.se/taxon/info/251765;Bofast och reproducerande
251766;;;;Solenopsia imitatrix;Solenopsia imitatrix;Wasmann, 1899;;;https://www.dyntaxa.se/taxon/info/251766;Bofast och reproducerande
251767;;;;Spilomicrus abnormis;Spilomicrus abnormis;Marshall, 1868;;;https://www.dyntaxa.se/taxon/info/251767;Bofast och reproducerande
251768;;;;Spilomicrus annulicornis;Spilomicrus annulicornis;Kieffer, 1911;;;https://www.dyntaxa.se/taxon/info/251768;Bofast och reproducerande
251769;;;;Spilomicrus antennatus;Spilomicrus antennatus;(Jurine, 1807);;;https://www.dyntaxa.se/taxon/info/251769;Bofast och reproducerande
251770;;;;Spilomicrus basalyformis;Spilomicrus basalyformis;Marshall, 1868;;;https://www.dyntaxa.se/taxon/info/251770;Bofast och reproducerande
251771;;;;Spilomicrus compressus;Spilomicrus compressus;Thomson, 1858;;;https://www.dyntaxa.se/taxon/info/251771;Bofast och reproducerande
251772;;;;Spilomicrus crassiclavis;Spilomicrus crassiclavis;Kieffer, 1911;;;https://www.dyntaxa.se/taxon/info/251772;Bofast och reproducerande
251773;;;;Spilomicrus flavipes;Spilomicrus flavipes;Thomson, 1858;;;https://www.dyntaxa.se/taxon/info/251773;Bofast och reproducerande
251774;;;;Spilomicrus formosus;Spilomicrus formosus;Jansson, 1942;;;https://www.dyntaxa.se/taxon/info/251774;Bofast och reproducerande
251775;;;;Spilomicrus hemipterus;Spilomicrus hemipterus;Marshall, 1868;;;https://www.dyntaxa.se/taxon/info/251775;Bofast och reproducerande
251776;;;;Spilomicrus integer;Spilomicrus integer;Thomson, 1858;;;https://www.dyntaxa.se/taxon/info/251776;Bofast och reproducerande
251777;;;;Spilomicrus modestus;Spilomicrus modestus;Tomsik, 1947;;;https://www.dyntaxa.se/taxon/info/251777;Bofast och reproducerande
251778;;;;Spilomicrus nigriclavis;Spilomicrus nigriclavis;Marshall, 1868;;;https://www.dyntaxa.se/taxon/info/251778;Bofast och reproducerande
251779;;;;Spilomicrus stigmaticalis;Spilomicrus stigmaticalis;Westwood, 1832;;;https://www.dyntaxa.se/taxon/info/251779;Bofast och reproducerande
251780;;;;Spilomicrus thomsoni;Spilomicrus thomsoni;Kieffer, 1911;;;https://www.dyntaxa.se/taxon/info/251780;Bofast och reproducerande
251781;;;;Tetramopria aurocincta;Tetramopria aurocincta;Wasmann, 1899;;;https://www.dyntaxa.se/taxon/info/251781;Bofast och reproducerande
251782;;;;Trichopria aequata;Trichopria aequata;(Thomson, 1858);;;https://www.dyntaxa.se/taxon/info/251782;Bofast och reproducerande
