Taxon;Vials;Specimens;CollID
Milichiidae;1;31;1420
Muscidae;22;1343;1420
Nycteribiidae;0;0;1420
Odiniidae;0;0;1420
Oestridae;0;0;1420
Opetiidae;0;0;1420
Opomyzidae;1;2;1420
Pallopteridae;0;0;1420
Periscelididae;0;0;1420
Phaeomyiidae;0;0;1420
Phoridae;0;0;1420
Piophilidae;0;0;1420
Pipunculidae;1;10;1420
Platypezidae;0;0;1420
Platystomatidae;0;0;1420
Pseudopomyzidae;0;0;1420
Psilidae;1;2;1420
Rhagionidae;1;3;1420
Rhinophoridae;1;25;1420
Sarcophagidae;1;10;1420
Scathophagidae;1;32;1420
Scenopinidae;0;0;1420
Sciomyzidae;1;4;1420
Sepsidae;1;8;1420
Sphaeroceridae;1;101;1420
Stenomicridae;0;0;1420
Stratiomyidae;0;0;1420
Strongylophthalmyiidae;0;0;1420
Syrphidae;1;34;1420
Tabanidae;1;1;1420
Tachinidae;1;22;1420
Tanypezidae;0;0;1420
Tephritidae;0;0;1420
Tethinidae;0;0;1420
Therevidae;1;5;1420
Trixoscelididae;1;1;1420
Ulidiidae;0;0;1420
Xylomyidae;0;0;1420
Xylophagidae;0;0;1420
Acarthophthalmidae ;0;0;1760
Acroceridae;0;0;1760
Agromyzidae;0;0;1760
Anthomyiidae;0;0;1760
Anthomyzidae;0;0;1760
Asilidae;0;0;1760
Asteiidae;0;0;1760
Athericidae;0;0;1760
Aulacigasteridae;0;0;1760
Bombyliidae;0;0;1760
Brachystomatidae;0;0;1760
Braulidae;0;0;1760
Calliphoridae;0;0;1760
Camillidae;0;0;1760
Campichoetidae;0;0;1760
Carnidae;0;0;1760
Chamaemyiidae;0;0;1760
Chiropteromyzidae;0;0;1760
Chloropidae;0;0;1760
Chyromyidae;0;0;1760
Clusiidae;0;0;1760
Coelopidae;0;0;1760
Coenomyiidae;0;0;1760
Conopidae;0;0;1760
Diastatidae;0;0;1760
Dolichopodidae;0;0;1760
Drosophilidae;0;0;1760
Dryomyzidae;0;0;1760
Empidoidea;0;0;1760
Ephydridae;0;0;1760
Fanniidae;0;0;1760
Gasterophilidae;0;0;1760
Helcomyzidae;0;0;1760
Heleomyzidae;0;0;1760
Heterocheilidae;0;0;1760
Hippoboscidae;0;0;1760
Hypodermatidae;0;0;1760
Lauxaniidae;0;0;1760
Lonchaeidae;0;0;1760
Lonchopteridae;0;0;1760
Megamerinidae;0;0;1760
Micropezidae;0;0;1760
Milichiidae;0;0;1760
Muscidae;0;0;1760
Nycteribiidae;0;0;1760
Odiniidae;0;0;1760
Oestridae;0;0;1760
Opetiidae;0;0;1760
Opomyzidae;0;0;1760
Pallopteridae;0;0;1760
Periscelididae;0;0;1760
Phaeomyiidae;0;0;1760
Phoridae;0;0;1760
Piophilidae;0;0;1760
Pipunculidae;0;0;1760
Platypezidae;0;0;1760
Platystomatidae;0;0;1760
Pseudopomyzidae;0;0;1760
Psilidae;0;0;1760
Rhagionidae;0;0;1760
Rhinophoridae;0;0;1760
Sarcophagidae;0;0;1760
Scathophagidae;0;0;1760
Scenopinidae;0;0;1760
Sciomyzidae;0;0;1760
Sepsidae;0;0;1760
Sphaeroceridae;0;0;1760
Stenomicridae;0;0;1760
Stratiomyidae;0;0;1760
Strongylophthalmyiidae;0;0;1760
Syrphidae;0;0;1760
Tabanidae;0;0;1760
Tachinidae;0;0;1760
Tanypezidae;0;0;1760
Tephritidae;0;0;1760
Tethinidae;0;0;1760
Therevidae;0;0;1760
Trixoscelididae;0;0;1760
Ulidiidae;0;0;1760
Xylomyidae;0;0;1760
Xylophagidae;0;0;1760
Acarthophthalmidae ;0;0;728
Acroceridae;0;0;728
Agromyzidae;0;0;728
Anthomyiidae;1;1;728
Anthomyzidae;0;0;728
Asilidae;0;0;728
Asteiidae;0;0;728
Athericidae;0;0;728
Aulacigasteridae;0;0;728
Bombyliidae;0;0;728
Brachystomatidae;0;0;728
Braulidae;0;0;728
Calliphoridae;1;1;728
Camillidae;0;0;728
Campichoetidae;0;0;728
Carnidae;0;0;728
Chamaemyiidae;0;0;728
