"Genus"	"Species"	"Author"	"TrapID"	"EventID"	"Order"	"AnalysisTaxon"	"SciName"
"88"	"Zaitzeviola"	"pilosistylata"	"Jaschhof, 2013"	44	1187	"Diptera"	"Porricondylinae (s lat)"	"Zaitzeviola pilosistylata"
"89"	"Camptomyia"	"flavocinerea"	"Panelius, 1965"	44	1188	"Diptera"	"Porricondylinae (s lat)"	"Camptomyia flavocinerea"
"90"	"Paneliusia"	"albimanoides"	"Jaschhof, 2013"	44	1188	"Diptera"	"Porricondylinae (s lat)"	"Paneliusia albimanoides"
"91"	"Zaitzeviola"	"angustistylata"	"Jaschhof, 2013"	44	1188	"Diptera"	"Porricondylinae (s lat)"	"Zaitzeviola angustistylata"
"92"	"Hilversidia"	"autumnalis"	"Mamaev, 1966"	44	1189	"Diptera"	"Porricondylinae (s lat)"	"Hilversidia autumnalis"
"93"	"Tetraneuromyia"	"lamellata"	"Spuņģis, 1987"	44	1189	"Diptera"	"Porricondylinae (s lat)"	"Tetraneuromyia lamellata"
"94"	"Tetraneuromyia"	"lenticularis"	"(Spuņģis, 1987)"	44	1189	"Diptera"	"Porricondylinae (s lat)"	"Tetraneuromyia lenticularis"
"95"	"Diallactia"	"crocea"	"(Kieffer, 1894)"	51	1233	"Diptera"	"Porricondylinae (s lat)"	"Diallactia crocea"
"96"	"Dicerura"	"triangularis"	"Mamaev, 1966"	51	1233	"Diptera"	"Porricondylinae (s lat)"	"Dicerura triangularis"
"97"	"Monepidosis"	"pectinatoides"	"Jaschhof, 2013"	51	1233	"Diptera"	"Porricondylinae (s lat)"	"Monepidosis pectinatoides"
"98"	"Parepidosis"	"venustior"	"Gagné, 2004"	51	1233	"Diptera"	"Porricondylinae (s lat)"	"Parepidosis venustior"
"99"	"Rhipidoxylomyia"	"excavata"	"Mamaev, 1964"	51	1233	"Diptera"	"Porricondylinae (s lat)"	"Rhipidoxylomyia excavata"
"100"	"Winnertzia"	"curvata"	"Panelius, 1965"	51	1233	"Diptera"	"Porricondylinae (s lat)"	"Winnertzia curvata"
"101"	"Winnertzia"	"pustulata"	"Spuņģis, 1992"	51	1233	"Diptera"	"Porricondylinae (s lat)"	"Winnertzia pustulata"
"102"	"Winnertzia"	"sp."	"Rondani, 1860"	51	1233	"Diptera"	"Porricondylinae (s lat)"	"Winnertzia sp."
"103"	"Paneliusia"	"albimanoides"	"Jaschhof, 2013"	24	1310	"Diptera"	"Porricondylinae (s lat)"	"Paneliusia albimanoides"
"104"	"Parepidosis"	"arcuata"	"Mamaev, 1964"	24	1310	"Diptera"	"Porricondylinae (s lat)"	"Parepidosis arcuata"
"105"	"Desertepidosis"	"borealis"	"Jaschhof, 2013"	1000	1322	"Diptera"	"Porricondylinae (s lat)"	"Desertepidosis borealis"
"106"	"Diallactia"	"crocea"	"(Kieffer, 1894)"	1000	1322	"Diptera"	"Porricondylinae (s lat)"	"Diallactia crocea"
"107"	"Divellepidosis"	"lutescens"	"(Spuņģis, 1981)"	1000	1322	"Diptera"	"Porricondylinae (s lat)"	"Divellepidosis lutescens"
"108"	"Divellepidosis"	"pallescens"	"(Panelius, 1965)"	1000	1322	"Diptera"	"Porricondylinae (s lat)"	"Divellepidosis pallescens"
"109"	"Parepidosis"	"arcuata"	"Mamaev, 1964"	1000	1322	"Diptera"	"Porricondylinae (s lat)"	"Parepidosis arcuata"
"110"	"Porricondyla"	"colpodioides"	"Mamaev, 1963"	1000	1322	"Diptera"	"Porricondylinae (s lat)"	"Porricondyla colpodioides"
"111"	"Schistoneurus"	"irregularis"	"Mamaev, 1964"	1000	1322	"Diptera"	"Porricondylinae (s lat)"	"Schistoneurus irregularis"
"112"	"Winnertzia"	"bulbifera"	"Mamaev, 1963"	1000	1322	"Diptera"	"Porricondylinae (s lat)"	"Winnertzia bulbifera"
"113"	"Winnertzia"	"divergens"	"Mamaev, 2002"	1000	1322	"Diptera"	"Porricondylinae (s lat)"	"Winnertzia divergens"
"114"	"Winnertzia"	"globifera"	"Mamaev, 1963"	1000	1322	"Diptera"	"Porricondylinae (s lat)"	"Winnertzia globifera"
"115"	"Winnertzia"	"solidaginis"	"Felt, 1907"	1000	1322	"Diptera"	"Porricondylinae (s lat)"	"Winnertzia solidaginis"
"116"	"Winnertzia"	"tridens"	"Panelius, 1965"	1000	1322	"Diptera"	"Porricondylinae (s lat)"	"Winnertzia tridens"
"117"	"Camptomyia"	"drymophila"	"Mamaev & A.I.Zaitzev, 1998"	1001	1329	"Diptera"	"Porricondylinae (s lat)"	"Camptomyia drymophila"
"118"	"Divellepidosis"	"hypoxantha"	"(Panelius, 1965)"	1001	1329	"Diptera"	"Porricondylinae (s lat)"	"Divellepidosis hypoxantha"
"119"	"Neurepidosis"	"grytsjoenensis"	"Jaschhof, 2013"	1001	1329	"Diptera"	"Porricondylinae (s lat)"	"Neurepidosis grytsjoenensis"
"120"	"Schistoneurus"	"irregularis"	"Mamaev, 1964"	1001	1329	"Diptera"	"Porricondylinae (s lat)"	"Schistoneurus irregularis"
"121"	"Serratyla"	"spinosa"	"Jaschhof, 2013"	1001	1329	"Diptera"	"Porricondylinae (s lat)"	"Serratyla spinosa"
"122"	"Spungisomyia"	"aberrans"	"Jaschhof, 2013"	1001	1329	"Diptera"	"Porricondylinae (s lat)"	"Spungisomyia aberrans"
"123"	"Winnertzia"	"tridens"	"Panelius, 1965"	1001	1329	"Diptera"	"Porricondylinae (s lat)"	"Winnertzia tridens"
"124"	"Winnertzia"	"xylostei"	"Mamaev, 1963"	1001	1329	"Diptera"	"Porricondylinae (s lat)"	"Winnertzia xylostei"
"125"	"Ekmanomyia"	"svecica"	"Jaschhof, 2013"	1001	1332	"Diptera"	"Porricondylinae (s lat)"	"Ekmanomyia svecica"
"126"	"Winnertzia"	"longiptera"	"Mamaev, 2002"	1001	1332	"Diptera"	"Porricondylinae (s lat)"	"Winnertzia longiptera"
"127"	"Asynapta"	"thuraui"	"Rübsaamen, 1893"	1008	1339	"Diptera"	"Porricondylinae (s lat)"	"Asynapta thuraui"
"128"	"Divellepidosis"	"hypoxantha"	"(Panelius, 1965)"	1008	1339	"Diptera"	"Porricondylinae (s lat)"	"Divellepidosis hypoxantha"
"129"	"Winnertzia"	"sp."	"Rondani, 1860"	1008	1339	"Diptera"	"Porricondylinae (s lat)"	"Winnertzia sp."
"130"	"Bryocrypta"	"dubia"	"Kieffer, 1896"	1008	1343	"Diptera"	"Porricondylinae (s lat)"	"Bryocrypta dubia"
"131"	"Coccopsilis"	"obscura"	"(Mamaev, 1964)"	1008	1343	"Diptera"	"Porricondylinae (s lat)"	"Coccopsilis obscura"
"132"	"Divellepidosis"	"hypoxantha"	"(Panelius, 1965)"	1008	1343	"Diptera"	"Porricondylinae (s lat)"	"Divellepidosis hypoxantha"
"133"	"Divellepidosis"	"vulgata"	"Jaschhof, 2013"	1008	1343	"Diptera"	"Porricondylinae (s lat)"	"Divellepidosis vulgata"
"134"	"Winnertzia"	"xylostei"	"Mamaev, 1963"	1008	1343	"Diptera"	"Porricondylinae (s lat)"	"Winnertzia xylostei"
"135"	"Heteropeza"	"pygmaea"	"Winnertz, 1846"	1008	1345	"Diptera"	"Porricondylinae (s lat)"	"Heteropeza pygmaea"
"136"	"Winnertzia"	"solidaginis"	"Felt, 1907"	1008	1345	"Diptera"	"Porricondylinae (s lat)"	"Winnertzia solidaginis"
"137"	"Winnertzia"	"tridens"	"Panelius, 1965"	1008	1345	"Diptera"	"Porricondylinae (s lat)"	"Winnertzia tridens"
"138"	"Winnertzia"	"xylostei"	"Mamaev, 1963"	1008	1345	"Diptera"	"Porricondylinae (s lat)"	"Winnertzia xylostei"
"139"	"Camptomyia"	"flavocinerea"	"Panelius, 1965"	22	1363	"Diptera"	"Porricondylinae (s lat)"	"Camptomyia flavocinerea"
"140"	"Leptosyna"	"nervosa"	"(Winnertz, 1852)"	22	1363	"Diptera"	"Porricondylinae (s lat)"	"Leptosyna nervosa"
"141"	"Parepidosis"	"acridula"	"Jaschhof, 2013"	22	1363	"Diptera"	"Porricondylinae (s lat)"	"Parepidosis acridula"
"142"	"Porricondyla"	"colpodioides"	"Mamaev, 1963"	22	1363	"Diptera"	"Porricondylinae (s lat)"	"Porricondyla colpodioides"
"143"	"Zaitzeviola"	"pilosistylata"	"Jaschhof, 2013"	22	1363	"Diptera"	"Porricondylinae (s lat)"	"Zaitzeviola pilosistylata"
"144"	"Coccopsilis"	"paneliusi"	"(Yukawa, 1971)"	1001	1366	"Diptera"	"Porricondylinae (s lat)"	"Coccopsilis paneliusi"
"145"	"Hilversidia"	"autumnalis"	"Mamaev, 1966"	1001	1366	"Diptera"	"Porricondylinae (s lat)"	"Hilversidia autumnalis"
"146"	"Coccopsilis"	"paneliusi"	"(Yukawa, 1971)"	1002	1379	"Diptera"	"Porricondylinae (s lat)"	"Coccopsilis paneliusi"
"147"	"Parepidosis"	"planistylata"	"Jaschhof, 2013"	1002	1379	"Diptera"	"Porricondylinae (s lat)"	"Parepidosis planistylata"
"148"	"Zaitzeviola"	"rufocinerea"	"(Panelius, 1965)"	1002	1379	"Diptera"	"Porricondylinae (s lat)"	"Zaitzeviola rufocinerea"
"149"	"Neurepidosis"	"conchata"	"Fedotova & Sidorenko, 2008"	1003	1386	"Diptera"	"Porricondylinae (s lat)"	"Neurepidosis conchata"
"150"	"Winnertzia"	"bulbifera"	"Mamaev, 1963"	1003	1386	"Diptera"	"Porricondylinae (s lat)"	"Winnertzia bulbifera"
"151"	"Winnertzia"	"curvata"	"Panelius, 1965"	1003	1386	"Diptera"	"Porricondylinae (s lat)"	"Winnertzia curvata"
"152"	"Winnertzia"	"tridens"	"Panelius, 1965"	1003	1386	"Diptera"	"Porricondylinae (s lat)"	"Winnertzia tridens"
