"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"62"	"Clistopyga"	"laevis"	"Kasparyan 1981"	1	12	176	"2003.viii.02"
"63"	"Dolichomitus"	"dux"	"(Tschek, 1869)"	1	6	369	"2003.vii.02"
"64"	"Clistopyga"	"sp."	"Gravenhorst, 1829"	1	35	558	"2004.iv.01"
"65"	"Dolichomitus"	"sp."	"Smith, 1877"	1	2003	2033	"2006.vi.09"
"66"	"Scambus"	"sp."	"Hartig, 1838"	2	22	1730	"2006.vii.03"
"67"	"Scambus"	"sp."	"Hartig, 1838"	1	39	603	"2003.vii.25"
"68"	"Acropimpla"	"sp."	"Townes, 1960"	1	6	369	"2003.vii.02"
"69"	"Scambus"	"sp."	"Hartig, 1838"	1	12	69	"2003.vi.24"
"70"	"Scambus"	"sp."	"Hartig, 1838"	1	41	1161	"2004.viii.20"
"71"	"Ephialtes"	"sp."	"Gravenhorst, 1829"	1	1008	1737	"2006.vi.10"
"72"	"Delomerista"	"sp."	"Förster, 1869"	1	46	1200	"2004.vii.15"
"73"	"Scambus"	"sp."	"Hartig, 1838"	4	28	1465	"2005.vi.06"
"74"	"Scambus"	"sp."	"Hartig, 1838"	3	9	356	"2003.vii.06"
"75"	"Dolichomitus"	"sp."	"Smith, 1877"	1	15	935	"2003.vi.24"
"76"	"Scambus"	"sp."	"Hartig, 1838"	1	18	343	"2004.vii.20"
"77"	"Ephialtes"	"sp."	"Gravenhorst, 1829"	2	28	1458	"2004.vii.16"
"78"	"Delomerista"	"sp."	"Förster, 1869"	2	35	560	"2004.v.20"
"79"	"Scambus"	"sp."	"Hartig, 1838"	1	39	1139	"2004.viii.06"
"80"	"Scambus"	"sp."	"Hartig, 1838"	1	34	1098	"2004.ix.14"
"81"	"Liotryphon"	"sp."	"Ashmead, 1900"	1	1004	1898	"2005.viii.09"
"82"	"Scambus"	"sp."	"Hartig, 1838"	17	6	852	"2004.vii.26"
"83"	"Scambus"	"sp."	"Hartig, 1838"	1	1008	1737	"2006.vi.10"
"84"	"Scambus"	"sp."	"Hartig, 1838"	13	49	2062	" 2003.vii.21"
"85"	"Scambus"	"sp."	"Hartig, 1838"	1	22	1312	"2005.v.20"
"86"	"Scambus"	"sp."	"Hartig, 1838"	2	9	360	"2003.ix.01"
"87"	"Scambus"	"sp."	"Hartig, 1838"	1	50	715	"2003.viii.07"
"88"	"Scambus"	"sp."	"Hartig, 1838"	1	2003	2033	"2006.vi.09"
"89"	"Liotryphon"	"sp."	"Ashmead, 1900"	2	12	177	"2003.viii.09"
"90"	"Scambus"	"sp."	"Hartig, 1838"	1	22	840	"2005.iv.25"
"91"	"Scambus"	"sp."	"Hartig, 1838"	1	43	1168	"2004.vi.16"
"92"	"Liotryphon"	"sp."	"Ashmead, 1900"	6	12	69	"2003.vi.24"
"93"	"Liotryphon"	"sp."	"Ashmead, 1900"	1	12	176	"2003.viii.02"
"94"	"Scambus"	"sp."	"Hartig, 1838"	1	12	175	"2003.vii.20"
"95"	"Liotryphon"	"sp."	"Ashmead, 1900"	3	12	890	"2004.vi.13"
"96"	"Liotryphon"	"sp."	"Ashmead, 1900"	11	12	896	"2004.viii.28"
"97"	"Liotryphon"	"sp."	"Ashmead, 1900"	1	12	70	"2003.vii.05"
"98"	"Ephialtes"	"sp."	"Gravenhorst, 1829"	1	12	891	"2004.vi.27"
"99"	"Liotryphon"	"sp."	"Ashmead, 1900"	1	23	437	"2003.x.02"
"100"	"Scambus"	"sp."	"Hartig, 1838"	2	35	1103	"2004.viii.07"
